School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,ACHIEVEMENT FIRST BROOKLYN ACADEMY CHARTER SCHOOL @ JHS 166,K788,K,19,NaN,800 VAN SICLEN AVE CONSOLIDATED LOCATION,3,22,IS 166K,Van Siclen Community Middle School | Achivement First Brooklyn Academy Charter School |UFT Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,2,5,10,6,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"800 VAN SICLEN AVE\n(40.660276, -73.885481)",11207,40.66011,-73.885387,5,42,1104,3097675,3043490050,East New York
2016 - 17,Frank Sinatra School of the Arts High School,Q501,Q,30,530,45-35 VAN DAM STREET CONSOLIDATED LOCATION,2,1059,CAMPUS MAGNET HS (A.J. HS),Middle College High School at LaGuardia Community |  International High School at LaGuardia Community C |  45-35 VAN DAM STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"35 12 35TH AVENUE\n(30.393305, -89.104158)",11106,40.756534,-73.925121,1,26,57,4009594,4006390016,Astoria
2016 - 17,1300 GREENE AVENUE CONSOLIDATED LOCATION,K383,K,32,1064,1300 GREENE AVENUE CONSOLIDATED LOCATION,2,133,PS 376K,J.H.S. 383 Philippa Schuyler| Achievement First Bushwick Charter School| 1300 GREENE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A,"1300 GREENE AVENUE\n(40.698104, -73.91946)",11237,40.697781,-73.919777,4,37,431,3075413,3032980001,Bushwick North
2016 - 17,The Brooklyn Academy of Global Finance,K688,K,16,112,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,3,72,PS 056K,J.H.S. 057 Whitelaw Reid |  Fredrick Douglass Academy IV Secondary School |  The Brooklyn Academy of Global Finance |  125 STUYVESANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"125 STUYVESANT AVENUE\n(40.951427, -73.690991)",11221,40.691274,-73.933697,3,36,291,3043822,3016160001,Stuyvesant Heights
2016 - 17,J.H.S. 062 Ditmas,K062,K,20,1191,,1,189,MS 061K,J.H.S. 062 Ditmas,0,0,2,0,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"700 CORTELYOU ROAD\n(40.63867, -73.971815)",11218,40.638686,-73.971651,12,40,490,3126842,3053910001,Kensington-Ocean Parkway
2016 - 17,701 ST. ANNS AVENUE CONSOLIDATED LOCATION,X470,X,7,526,,1,321,ADLAI E. STEVENSON HS,Eagle Academy for Young Men,1,0,4,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"701 ST ANNS AVENUE\n(40.817928, -73.911156)",10455,40.81825,-73.91103,1,17,71,2001153,2023590240,Melrose South-Mott Haven North
2016 - 17,P.S. 112 Lefferts Park,K112,K,20,655,,1,43,MS 347K,P.S. 112 Lefferts Park,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"7115 15 AVENUE\n(41.985477, -92.201906)",11228,40.61978,-74.000792,11,43,190,3157760,3061800001,Bensonhurst West
2016 - 17,Bedford Stuyvesant Preparatory High School,K575,K,13,135,832 MARCY AVENUE CONSOLIDATED LOCATION,4,5,BOYS AND GIRLS HS,Brooklyn Academy High School|Bedford Stuyvesant Preparatory High School|Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School|Brownsville Collegiate Charter School|832 MARCY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"832 MARCY AVENUE\n(40.685105, -73.947157)",11216,40.685004,-73.947152,3,36,249,3051641,3018230038,Bedford
2016 - 17,J.H.S. 202 Robert H. Goddard,Q202,Q,27,976,,1,818,PS 193Q,P.S. 199 Maurice A. Fitzgerald,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"138 30 LAFAYETTE STREET\n(42.995734, -71.487571)",11417,40.67124,-73.845141,10,32,58,4245993,4114030001,Ozone Park
2016 - 17,M.S. 158 Marie Curie,Q158,Q,26,232,229-02 137 AVENUE CONSOLIDATED LOCATION,2,804,PS 150Q,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"46 35 OCEANIA STREET\n(40.695502, -74.151298)",11361,40.756139,-73.772862,11,19,1447,4438325,4073120001,Bayside-Bayside Hills
2016 - 17,Mott Haven Community High School,X557,X,7,864,900 TINTON AVENUE CONSOLIDATED LOCATION,2,448,JOHN F. KENNEDY HS,School for Tourism and Hospitality |New Visions Charter HS for Advanced Match and Science II |900 TINTON AVENUE CONSOLIDATED LOCATION,1,6,22,4,3,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"455 SOUTHERN BLVD\n(40.808756, -73.907659)",10455,40.810803,-73.907015,1,8,35,2003883,2025760026,Mott Haven-Port Morris
2016 - 17,Community Action School - MS 258,M258,M,3,149,154 WEST  93 STREET CONSOLIDATED LOCATION,3,692,PS 116M,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"154 WEST 93 STREET\n(33.951918, -118.276016)",10025,40.791728,-73.970845,7,6,177,1032522,1012230005,Upper West Side
2016 - 17,P.S. 106 Parkchester,X106,X,11,1194,,2,1318,METROPOLITAN HIGH SCHOOL,P.S. 103 Hector Fontanez | 4125 Carpenter Avenue,0,0,1,0,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"2120 ST RAYMOND'S AVENUE\n(40.837568, -73.854529)",10462,40.837524,-73.8548,9,18,222,2041211,2039460007,Parkchester
2016 - 17,P.S. 206 Jose Celso Barbosa,M206,M,4,884,,1,560,JHS 195M,P.S. 199 Jessie Isador Straus,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"508 EAST 120 STREET\n(42.161967, -72.467479)",10035,40.797467,-73.930868,11,8,192,1084005,1018160001,East Harlem North
2016 - 17,1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,X450,X,8,296,1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,8,527,THEODORE ROOSEVELT HS,Pablo Neruda Academy|Millennium Art Academy|Antonia Pantoja Preparatory Academy: A College Boa|Bronx Community High School|BRONX BRIDGES HIGH SCHOOL|Bronx Guild|Stevenson Yabc|Bronx Compass High School|1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1980 LAFAYETTE AVENUE\n(37.665046, -120.962673)",10473,40.82229,-73.856167,9,18,16,2022205,2036040039,Soundview-Castle Hill-Clason Point-Harding Park
2016 - 17,School of the Future Brooklyn,K663,K,19,335,574 DUMONT AVENUE CONSOLIDATED LOCATION,2,23,IS 171K, Brooklyn Gardens Elementary School |  School of the Future Brooklyn |  574 DUMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"574 DUMONT AVENUE\n(45.453421, -99.653763)",11207,40.665798,-73.897723,5,42,1130,3084617,3038020015,East New York (Pennsylvania Ave)
2016 - 17,Middle School 322,M322,M,6,124,,1,634,PS 200M,P.S. 208 Alain L. Locke,0,4,1,4,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"4600 BROADWAY\n(37.706452, -121.084239)",10040,40.86079,-73.930672,12,10,285,1076756,1021720016,Washington Heights North
