School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,P.S. 054 Samuel C. Barnes,K054,K,13,242,,1,208,PS 052K,P.S. 054 Samuel C. Barnes,0,0,1,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"195 SANFORD STREET\n(43.321852, -73.637703)",11205,40.693018,-73.953034,3,33,241,3049020,3017650015,Bedford
2016 - 17,New Visions Charter High School for Advanced Math,K738,K,22,209,3000 AVENUE X CONSOLIDATED LOCATION,4,10,BUSHWICK HS CAMPUS,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"3000 AVENUE\n(40.594236, -73.936836)",11235,40.594124,-73.937696,15,48,626,3203631,3074250002,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2016 - 17,Hamilton Grange Middle School,M209,M,6,592,,1,624,PS 183M,P.S. 290 Manhattan New School,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"500 WEST 138 STREET\n(42.42416, -72.123709)",10031,40.820953,-73.951145,9,7,22301,1084132,1019880166,Manhattanville
2016 - 17,Elijah Stroud Middle School,K353,K,17,489,750 CLASSON AVENUE CONSOLIDATED LOCATION,2,1383,The Urban Assembly of Math & Science for Young Women,P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"750 CLASSON AVENUE\n(40.674877, -73.960083)",11238,40.674406,-73.960254,8,35,215,3029246,3011670018,Prospect Heights
2016 - 17,P.S. 099 Isaac Asimov,K099,K,21,879,,1,216,PS 097K,P.S. 099 Isaac Asimov,0,1,3,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"1120 EAST 10 STREET\n(35.330106, -96.908595)",11230,40.621565,-73.965595,12,44,454,3171478,3065350011,Ocean Parkway South
2016 - 17,OCEAN HILL COLLEGIATE CHARTER SCHOOL(BN),K777,K,23,626,1137 HERKIMER STREET CONSOLIDATED LOCATION,3,287,PS 269K,Mott Hall IV |  Eagle Academy for Young Men II |Ocean Hill Collegiate Charter School |1137 HERKIMER STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"1137 HERKIMER STREET\n(29.791239, -95.406189)",11233,40.677805,-73.915843,16,41,301,3042157,3015500001,Ocean Hill
2016 - 17,Midwood High School,K405,K,22,1902,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,1162,PAL AUXILARY SERVICES,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,2,6,20,4,1,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,"2839 BEDFORD AVENUE\n(38.735809, -120.799784)",11210,40.633237,-73.952929,14,45,772,3205788,3075530041,Flatbush
2016 - 17,272 MACDONOUGH STREET CONSOLIDATED LOCATION,K035,K,16,425,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,63,PS 034K,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,0,3,0,0,3,3C,251-500,0.27,0.9,1.67,0.63,0.44,"272 MACDONOUGH STREET\n(40.681954, -73.93554)",11233,40.681896,-73.935963,3,36,273,3047054,3016740011,Stuyvesant Heights
2016 - 17,2021 BERGEN STREET CONSOLIDATED LOCATION,K055,K,23,306,2021 BERGEN STREET CONSOLIDATED LOCATION,2,1184,PS 54K,Brooklyn Collegiate: A College Board School l Achievement First Brownsville Charter School l 2021 BERGEN STREET CONSOLIDATED LOCATION,0,10,14,4,5,3C,251-500,0.27,0.9,1.67,0.63,0.44,"2021 Bergen Street\n(40.068155, -75.048258)",11233,40.674103,-73.913273,16,41,36501,3038939,3014480001,Ocean Hill
2016 - 17,226 BRISTOL STREET CONSOLIDATED LOCATION,K175,K,23,144,574 DUMONT AVENUE CONSOLIDATED LOCATION,2,23,IS 171K, Brooklyn Gardens Elementary School |  School of the Future Brooklyn |  574 DUMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"226 BRISTOL STREET\n(42.881722, -78.848003)",11212,40.665878,-73.911705,16,41,924,3081419,3035410001,Brownsville
2016 - 17,P.S. 153 Homecrest,K153,K,21,657,2310 GLENWOOD ROAD CONSOLIDATED LOCATION,2,95,PS 151K,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"1970 HOMECREST AVENUE\n(40.601112, -73.959672)",11229,40.601617,-73.959779,15,48,556,3196677,3072910030,Homecrest
2016 - 17,5800 20 AVENUE CONSOLIDATED LOCATION,K505,K,20,1020,1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION,3,316,SHEEPSHEAD BAY HS,High School for Innovation in Advertising and Medi |  High School for Medical Professions |  Urban Action Academy |  1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION,1,9,16,3,6,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"5800 20 AVENUE\n(38.533352, -121.438402)",11204,40.620446,-73.981795,12,44,468,3131537,3055060006,Borough Park
2016 - 17,"School of Math, Science, and Healthy Living",K971,K,20,246,,1,139,Brownsville Academy,PASSAGES ACADEMY AT BELMONT(BN),1,0,1,0,1,2C,1-250,0.24,0.71,1.71,0.51,0.32,"6214 4TH AVENUE\n(40.639357, -74.020072)",11220,40.639571,-74.01976,7,38,72,3143927,3057990038,Sunset Park West
2016 - 17,P.S. 142 Amalia Castro,M142,M,1,382,,1,533,Percy E. Sutton Educ. Complex/Formerly BREAD & ROSES HS,P.S. 140 Nathan Straus,0,3,7,2,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"100 ATTORNEY STREET\n(40.718817, -73.98422)",10002,40.718383,-73.984452,3,1,1402,1004080,1003430001,Lower East Side
2016 - 17,P.S. 253,K253,K,21,434,1084 LENOX ROAD CONSOLIDATED LOCATION,2,280,PS 247K,Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"601 OCEANVIEW AVENUE\n(40.566578, -73.890588)",11235,40.579607,-73.962071,13,48,364,3244470,3086660610,Brighton Beach
2016 - 17,750 CLASSON AVENUE CONSOLIDATED LOCATION,K316,K,17,164,750 CLASSON AVENUE CONSOLIDATED LOCATION,2,1383,The Urban Assembly of Math & Science for Young Women,P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"750 CLASSON AVENUE\n(40.674877, -73.960083)",11238,40.674406,-73.960254,8,35,215,3029246,3011670018,Prospect Heights
2016 - 17,John Dewey High School,K540,K,21,1029,,1,318,SOUTH SHORE HS,Leon M. Goldstein High School for the Sciences,0,0,0,0,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"50 AVENUE\n(40.589259, -73.981881)",11223,40.589268,-73.981738,13,47,308,3194998,3071850020,Gravesend
2016 - 17,Brooklyn Generation School,K566,K,18,3183,5800 20 AVENUE CONSOLIDATED LOCATION,1,316,SHEEPSHEAD BAY HS,Franklin Delano Roosevelt High School | 5800 20 AVENUE CONSOLIDATED LOCATION,0,6,6,4,2,12C,3001-4000,1.13,8.47,15.33,3.8,3.07,"6565 FLATLANDS AVENUE\n(40.633516, -73.916477)",11236,40.633285,-73.916735,18,46,950,3224139,3079980005,Canarsie
2016 - 17,P.S. 219 Kennedy-King,K219,K,18,313,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,108,PS 214K,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1060 CLARKSON AVENUE\n(40.659337, -73.922849)",11212,40.659288,-73.922919,17,41,886,3101168,3046480001,Rugby-Remsen Village
2016 - 17,P.S. 212 Midtown West,M212,M,2,178,,1,549,JHS 013M,P.S. 015 Roberto Clemente,0,1,1,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"328 WEST 48 STREET\n(27.55681, -82.566745)",10036,40.761448,-73.988019,4,3,127,1025092,1010380014,Clinton
2016 - 17,High School for Excellence and Innovation,M423,M,6,285,650 ACADEMY STREET CONSOLIDATED LOCATION,3,662,JHS 047M SCHOOL FOR THE DEAF,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"650 ACADEMY STREET\n(35.82187, -79.81864)",10034,40.866053,-73.924835,12,10,291,1076776,1022330020,Marble Hill-Inwood
2016 - 17,Brooklyn Landmark Elementary School,K599,K,23,311,251 MCDOUGAL STREET CONSOLIDATED LOCATION,2,1400,East New York Elementary School of Excellence,Brooklyn Landmark Elementary School |  Brooklyn Environmental Exploration School (BEES) |  251 MCDOUGAL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"251 MCDOUGAL STREET\n(33.338527, -89.747595)",11233,40.680318,-73.910644,16,37,369,3041561,3015280001,Ocean Hill
2016 - 17,P.S. 199 Jessie Isador Straus,M199,M,3,359,1700 3 AVENUE CONSOLIDATED LOCATION,2,1335,East Harlem Village Academy Charter School,P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"270 WEST 70 STREET\n(33.880725, -118.206822)",10023,40.778059,-73.984449,7,6,155,1030351,1011580040,Lincoln Square
2016 - 17,P.S. 193 Gil Hodges,K193,K,22,693,,1,103,PS 190K,P.S. 192 - The Magnet School for Math and Science,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"2515 AVENUE\n(27.46113, -80.351326)",11210,40.621507,-73.950473,14,45,754,3208461,3076250001,Midwood
2016 - 17,School for Legal Studies,K477,K,14,886,850 GRAND STREET CONSOLIDATED LOCATION,3,197,PROSPECT HEIGHTS HS,"PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"850 GRAND STREET\n(40.712241, -73.939494)",11211,40.712184,-73.939722,1,34,485,3325733,3030160001,Bushwick South
2016 - 17,TEACHING FIRMS OF AMERICA PROFESSIONAL PREPARATORY CHARTER SCHOOL(BN),K406,K,16,332,616 QUINCY STREET CONSOLIDATED LOCATION,2,1048,PS 305K,P.S. 308 Clara Cardwell|  Teaching Firms of America-Professional Preparatory|  616 QUINCY STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"616 QUINCY STREET\n(30.079916, -93.767893)",11221,40.688695,-73.935499,3,36,293,3044493,3016300001,Stuyvesant Heights
2016 - 17,P.S. 020 Clinton Hill,K020,K,13,410,225 ADELPHI STREET CONSOLIDATED LOCATION,2,58,PS 019K,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"225 ADELPHI STREET\n(40.691, -73.971441)",11205,40.690765,-73.971376,2,35,183,3058531,3020910003,Fort Greene
2016 - 17,ROADS Charter School II,X200,X,12,387,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,1010 REV J A POLITE AVENUE,10459,40.823532,-73.898872,2,17,12901,2005366,2026980012,Longwood
2016 - 17,"New Explorations into Science, Technology and Math",M539,M,1,540,,1,1061,MS 17M,P.S. 020 Anna Silver,2,1,5,2,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"111 COLUMBIA STREET\n(40.687981, -74.001276)",10002,40.718895,-73.979308,3,2,2201,1004070,1003350001,Lower East Side
2016 - 17,328 WEST  48 STREET CONSOLIDATED LOCATION,M017,M,2,544,328 WEST  48 STREET CONSOLIDATED LOCATION,2,549,JHS 013M,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"328 WEST 48 STREET\n(27.55681, -82.566745)",10036,40.761448,-73.988019,4,3,127,1025092,1010380014,Clinton
2016 - 17,P.S. 185 - The Early Childhood Discovery and Desig,M185,M,3,277,,1,620,PS 173M,Professor Juan Bosch Public School,0,1,0,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"20 WEST 112 STREET\n(41.690763, -87.623913)",10026,40.798511,-73.949251,10,9,186,1051410,1015950015,Central Harlem South
2016 - 17,M.S. 582,K582,K,14,618,207 BUSHWICK AVENUE CONSOLIDATED LOCATION,2,251,PS 192K,P.S. 196 Ten Eyck |  M.S. 582 |  207 BUSHWICK AVENUE CONSOLIDATED LOCATION,1,0,2,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"207 BUSHWICK AVENUE\n(40.671522, -73.565986)",11206,40.708723,-73.940002,1,34,485,3071024,3030460001,Bushwick South
2016 - 17,Hamilton Heights School,M368,M,6,676,1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,2,606,PS 145M,P.S. 154 Harriet Tubman|Democracy Prep Endurance Charter School|250 WEST 127 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"1750 AMSTERDAM AVENUE\n(40.675876, -73.566264)",10031,40.826295,-73.946845,9,7,233,1081834,1020780019,Hamilton Heights
2016 - 17,J.H.S. 104 Simon Baruch,M104,M,2,313,,1,554,JHS 099M,P.S. 102 Jacques Cartier,0,1,7,0,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"330 EAST 21 STREET\n(40.907119, -74.1556)",10010,40.736094,-73.980663,6,2,64,1081671,1009260001,Gramercy
2016 - 17,Marta Valle High School,M509,M,1,283,145 STANTON STREET CONSOLIDATED LOCATION,3,661,JHS 025M - MARTA VALLE,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"145 STANTON STREET\n(41.233341, -75.895469)",10002,40.720581,-73.985645,3,1,3001,1004323,1003540080,Chinatown
2016 - 17,P.S. 312 Bergen Beach,K312,K,22,424,,1,125,PS 308K,The School For Future Leaders,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"7103 AVENUE\n(40.621591, -73.908698)",11234,40.621413,-73.908987,18,46,69602,3236665,3083930001,Georgetown-Marine Park-Bergen Beach-Mill Basin
2016 - 17,Upper School @ P.S. 25,K534,K,16,105,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,202,PS 024K,P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"787 LAFAYETTE AVENUE\n(40.809311, -75.597174)",11221,40.691037,-73.941342,3,36,281,3049858,3017870014,Stuyvesant Heights
2016 - 17,I.S. 218 Salome Urena,M218,M,6,661,508 EAST 120 STREET CONSOLIDATED LOCATION,2,632,PS 198M,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,1,0,3,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"4600 BROADWAY\n(37.706452, -121.084239)",10040,40.86079,-73.930672,12,10,285,1076756,1021720016,Washington Heights North
2016 - 17,Pathways in Technology Early College High School (,K122,K,17,539,,1,3,AUTOMOTIVE HS,William E. Grady Career and Technical Education Hi,0,2,6,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"150 ALBANY AVENUE\n(40.738834, -73.353728)",11213,40.675612,-73.938843,8,36,311,3030553,3012160046,Crown Heights North
2016 - 17,P.S. 245,K245,K,22,206,,1,7,BROOKLYN HS OF THE ARTS,Liberation Diploma Plus,0,1,2,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"249 EAST 17TH STREET\n(41.500833, -87.625693)",11226,40.645016,-73.963208,14,40,512,3117584,3051210032,Flatbush
2016 - 17,330 CROWN STREET CONSOLIDATED LOCATION,K161,K,17,374,330 CROWN STREET CONSOLIDATED LOCATION,2,237,PS 160K,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"330 CROWN STREET\n(40.6662, -73.949206)",11225,40.666181,-73.949013,9,35,319,3034181,3012970026,Crown Heights South
2016 - 17,M.S. 319 - Maria Teresa,M319,M,6,914,21 JUMEL PLACE CONSOLIDATED LOCATION,3,1069,EIGHT PLUS LEARNING ACADEMIES,M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"21 JUMEL PLACE\n(43.082584, -73.771551)",10032,40.839305,-73.936159,12,10,249,1076741,1021120058,Washington Heights South
2016 - 17,P.S. 255 Barbara Reing School,K255,K,22,784,,1,179,JHS 252K,P.S. 254 Dag Hammarskjold,0,1,1,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"1866 EAST 17 STREET\n(40.412526, -104.651243)",11229,40.604349,-73.955528,15,48,558,3184034,3068210123,Madison
2016 - 17,50 BEDFORD AVENUE CONSOLIDATED LOCATION,K610,K,14,114,50 BEDFORD AVENUE CONSOLIDATED LOCATION,2,15,GEORGE WESTINGHOUSE HS,Frances Perkins Academy | Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"50 BEDFORD AVENUE\n(40.72183, -73.953416)",11222,40.721981,-73.953281,1,33,517,3066698,3026700001,North Side-South Side
2016 - 17,P.S. 277 Gerritsen Beach,K277,K,22,657,,1,37,JHS 275K,P.S. 276 Louis Marshall,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"2529 GERRITSEN AVENUE\n(40.595731, -73.928302)",11229,40.596145,-73.928793,18,46,666,3242369,3085900650,park-cemetery-etc-Brooklyn
2016 - 17,Vista Academy,K661,K,19,304,,1,1032,PS 297K,P.S. 299 Thomas Warren Field,0,0,2,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"350 LINWOOD STREET\n(33.129835, -117.053452)",11208,40.677104,-73.883433,5,37,1170,3088357,3039690001,East New York
2016 - 17,P.S. 194 Countee Cullen,M194,M,5,281,500 WEST 138 STREET CONSOLIDATED LOCATION,3,626,PS 187M,P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| P.S. 325| 500 WEST 138 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"244 WEST 144 STREET\n(41.993153, -71.341312)",10030,40.821535,-73.940941,10,9,232,1060432,1020290011,Central Harlem North-Polo Grounds
2016 - 17,Quest to Learn,M422,M,2,267,351 WEST  18 STREET CONSOLIDATED LOCATION,6,NaN,#N/A,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"351 WEST 18 STREET\n(26.777123, -80.061719)",10011,40.742867,-74.002136,4,3,89,1013096,1007420007,Hudson Yards-Chelsea-Flatiron-Union Square
2016 - 17,I.S. 98 Bay Academy,K098,K,21,1513,,1,67,PS 041K,I.S. 98 Bay Academy,2,1,0,3,0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,"1401 EMMONS AVENUE\n(42.535103, -83.202641)",11235,40.583125,-73.954037,15,48,608,3246958,3087670026,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2016 - 17,P.S. 087 William Sherman,M087,M,3,565,32 WEST  92 STREET CONSOLIDATED LOCATION,2,587,PS 076M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,0,2,1,1,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"160 WEST 78 STREET\n(32.433719, -93.758182)",10024,40.781958,-73.977638,7,6,161,1030196,1011490007,Upper West Side
2016 - 17,P.S. 194 Raoul Wallenberg,K194,K,22,803,,1,103,PS 190K,P.S. 193 Gil Hodges,1,0,0,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"3117 AVENUE W\n(33.87938, -98.533097)",11229,40.596757,-73.933499,15,46,570,3201629,3073930001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2016 - 17,P.S. 151 Lyndon B. Johnson,K151,K,32,182,,1,93,PS 149K,P.S. 150 Christopher,0,1,1,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"763 KNICKERBOCKER AVENUE\n(40.693433, -73.908901)",11207,40.693293,-73.90864,4,37,437,3078654,3034060001,Bushwick North
2016 - 17,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,M427,M,2,437,131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,2,674,PARK WEST HS,NYC iSchool |  Chelsea Career and Technical Education High School |  131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"111 EAST 33RD STREET\n(40.746192, -73.981277)",10016,40.746176,-73.981241,5,2,72,1087537,1008897501,Murray Hill-Kips Bay
2016 - 17,"East Side Elementary School, PS 267",M267,M,2,286,,1,635,PS 208M,The Mott Hall School,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"213 EAST 63RD STREET\n(40.763634, -73.963765)",10065,40.763842,-73.964222,8,4,110,1087680,1014180007,Lenox Hill-Roosevelt Island
2016 - 17,J.H.S. 220 John J. Pershing,K220,K,20,536,,1,24,IS 218K,P.S. 219 Kennedy-King,0,0,4,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"4812 9TH AVENUE\n(33.999566, -118.32692)",11220,40.640545,-74.000731,12,38,108,3012824,3007780023,Sunset Park East
2016 - 17,Humanities Preparatory Academy,M605,M,2,380,351 WEST  18 STREET CONSOLIDATED LOCATION,6,NaN,#N/A,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"351 WEST 18 STREET\n(26.777123, -80.061719)",10011,40.742867,-74.002136,4,3,89,1013096,1007420007,Hudson Yards-Chelsea-Flatiron-Union Square
2016 - 17,333 WEST  17 STREET CONSOLIDATED LOCATION,M070,M,2,454,333 WEST  17 STREET CONSOLIDATED LOCATION,3,689,PS 064M,New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"333 WEST 17 STREET\n(39.647167, -74.185784)",10011,40.742129,-74.002198,4,3,83,1079152,1007410010,Hudson Yards-Chelsea-Flatiron-Union Square
2016 - 17,Murry Bergtraum High School for Business Careers,M520,M,2,315,411 PEARL STREET CONSOLIDATED LOCATION,4,534,CHOIR ACADEMY,The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"411 PEARL STREET\n(37.010915, -86.446631)",10038,40.711442,-74.000851,1,1,29,1001388,1001130100,Chinatown
2016 - 17,P.S. 048 P.O. Michael J. Buczek,M048,M,6,374,223 EAST 23 STREET CONSOLIDATED LOCATION,2,550,JHS 044M,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,2,0,1,2,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"4360 78\n(41.539224, -87.336286)",10033,40.853466,-73.934048,12,10,271,1076752,1021670029,Washington Heights North
2016 - 17,P.S. 376,K376,K,32,258,,1,1399,The Science & Medicine Middle School,P.S. 371 - Lillian L. Rashkis,1,1,3,1,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"194 HARMAN STREET\n(40.698285, -73.920459)",11237,40.698021,-73.920711,4,37,431,3075072,3032870001,Bushwick North
2016 - 17,P.S. 116 Elizabeth L Farrell,K116,K,32,455,,1,224,PS 115K,P.S. 116 Elizabeth L Farrell,1,1,1,1,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"515 KNICKERBOCKER AVENUE\n(40.697677, -73.916362)",11237,40.697779,-73.916521,4,37,433,3075909,3033170001,Bushwick North
2016 - 17,P.S. 177 The Marlboro,K177,K,21,1399,,1,136,Teachers Preparatory,P.S. 176 Ovington,0,0,0,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"346 AVENUE\n(40.608652, -73.974518)",11204,40.608604,-73.974847,11,44,424,3175834,3066310001,Bensonhurst East
