ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
1,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,K,15,1280,,1,P.S. 001 The Bergen,0,1,0,1,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
2,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17,475,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
3,K002,84K704,EXPLORE CHARTER SCHOOL(BS),K704,655 PARKSIDE AVENUE,K,17,529,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
4,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,K,17,374,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
5,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17,1378,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,0,3,1,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82
6,K003,13K003,P.S. 003 The Bedford Village,K003,50 JEFFERSON AVENUE,K,13,450,,1,P.S. 003 The Bedford Village,0,0,2,0,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
7,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,K,16,231,,1,P.S. 005 Dr. Ronald Mcnair,0,0,2,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
8,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,K,17,712,,1,P.S. 006,0,1,2,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
9,K007,19K007,P.S. 007 Abraham Lincoln,K007,858 JAMAICA AVENUE,K,19,969,,1,P.S. 007 Abraham Lincoln,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
10,K008,13K008,P.S. 008 Robert Fulton,K008,37 HICKS STREET,K,13,924,,1,P.S. 008 Robert Fulton,3,0,0,3,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
11,K009,13K009,P.S. 009 Teunis G. Bergen,K009,80 UNDERHILL AVENUE,K,13,838,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
12,K009,84K780,BROOKLYN EAST COLLEGIATE CHARTER SCHOOL(BN),K780,80 Underhill Ave,K,13,388,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
13,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,80 UNDERHILL AVENUE,K,13,838,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,0,1,1,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
14,K010,15K010,"Magnet School of Math, Science and Design Technolo",K010,511 7 AVENUE,K,15,942,,1,"Magnet School of Math, Science and Design Technolo",0,2,0,2,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
15,K011,13K011,P.S. 011 Purvis J. Behan,K011,419 WAVERLY AVENUE,K,13,831,,1,P.S. 011 Purvis J. Behan,1,0,0,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
16,K012,17K012,Dr. Jacqueline Peek-Davis School,K012,430 HOWARD AVENUE,K,23,234,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
17,K012,17K484,Ronald Edmonds Learning Center II,K484,430 HOWARD AVENUE,K,23,141,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
18,K012,,430 HOWARD AVENUE CONSOLIDATED LOCATION,,430 HOWARD AVENUE,K,23,234,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,1,3,1,2,2,2C,1-250,0.24,0.71,1.71,0.51,0.32
19,K013,19K013,P.S. 013 Roberto Clemente,K013,557 PENNSYLVANIA AVENUE,K,19,519,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
20,K013,84K358,Achievement First East New York Charter School,K358,557 PENNSYLVANIA AVENUE,K,19,846,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
21,K013,,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,557 PENNSYLVANIA AVENUE,K,19,519,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,0,2,2,0,2,4C,501-750,0.28,1.11,1.74,0.75,0.53
22,K014,22K014,J.H.S. 014 Shell Bank,K014,2424 BATCHELDER STREET,K,22,548,2424 BATCHELDER STREET CONSOLIDATED LOCATION,2,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
23,K014,75K077,PS 77(BROOKLYN),K077,2424 BATCHELDER STREET,K,22,289,2424 BATCHELDER STREET CONSOLIDATED LOCATION,2,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
24,K014,,2424 BATCHELDER STREET CONSOLIDATED LOCATION,,2424 BATCHELDER STREET,K,22,837,2424 BATCHELDER STREET CONSOLIDATED LOCATION,2,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,1,2,3,3,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
25,K015,15K015,P.S. 015 Patrick F. Daly,K015,71 SULLIVAN STREET,K,15,457,,1,P.S. 015 Patrick F. Daly,1,2,0,2,1,3C,251-500,0.27,0.90,1.67,0.63,0.44
26,K016,14K016,P.S. 016 Leonard Dunkly,K016,157 WILSON STREET,K,14,242,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
27,K016,84K355,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL(BROOKLYN),K355,157 WILSON STREET,K,14,538,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
28,K016,,157 WILSON STREET CONSOLIDATED LOCATION,,157 WILSON STREET,K,14,242,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,1,1,0,1,1,2C,1-250,0.24,0.71,1.71,0.51,0.32
29,K017,14K017,P.S. 017 Henry D. Woodworth,K017,208 NORTH  5 STREET,K,14,292,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
30,K017,14K577,Conselyea Preparatory School,K577,208 NORTH  5 STREET,K,14,506,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
31,K017,,208 NORTH  5 STREET CONSOLIDATED LOCATION,,208 NORTH  5 STREET,K,14,798,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
32,K018,14K018,P.S. 018 Edward Bush,K018,101 MAUJER STREET,K,14,192,,1,P.S. 018 Edward Bush,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
33,K019,14K414,Brooklyn Arbor Elementary School,K414,325 SOUTH  3 STREET,K,14,583,325 SOUTH  3 STREET CONSOLIDATED LOCATION,1,Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
34,K019,,325 SOUTH  3 STREET CONSOLIDATED LOCATION,,325 SOUTH  3 STREET,K,14,583,325 SOUTH  3 STREET CONSOLIDATED LOCATION,1,Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,0,0,0,0,0,3C,501-750,0.27,0.90,1.67,0.63,0.44
35,K020,13K020,P.S. 020 Clinton Hill,K020,225 ADELPHI STREET,K,13,401,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
36,K020,13K492,Academy of Arts and Letters,K492,225 ADELPHI STREET,K,13,515,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
37,K020,,225 ADELPHI STREET CONSOLIDATED LOCATION,,225 ADELPHI STREET,K,13,916,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,0,0,1,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
38,K021,16K021,P.S. 021 Crispus Attucks,K021,180 CHAUNCEY STREET,K,16,615,,1,P.S. 021 Crispus Attucks,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
39,K022,17K705,Brooklyn Arts and Science Elementary School,K705,443 ST MARKS AVENUE,K,17,356,443 ST MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
40,K022,84K333,Explore Exceed Charter School,K333,443 ST MARKS AVENUE,K,17,441,443 ST MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
41,K022,,443 ST MARKS AVENUE CONSOLIDATED LOCATION,,443 ST. MARKS AVENUE,K,17,797,443 ST MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,0,0,1,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
42,K023,14K023,P.S. 023 Carter G. Woodson,K023,545 WILLOUGHBY AVENUE,K,14,293,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
43,K023,84K701,Brooklyn Charter School,K701,545 WILLOUGHBY AVENUE,K,14,245,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
44,K023,,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,,545 WILLOUGHBY AVENUE,K,14,538,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
45,K024,15K024,P.S. 024,K024,427 38 STREET,K,15,674,,1,P.S. 024,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
46,K025,16K025,P.S. 025 Eubie Blake School,K025,787 LAFAYETTE AVENUE,K,16,146,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
47,K025,16K534,Upper School @ P.S. 25,K534,787 LAFAYETTE AVENUE,K,16,87,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
48,K025,,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,787 LAFAYETTE AVENUE,K,16,233,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0,0,2,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
49,K026,16K026,P.S. 026 Jesse Owens,K026,1014 LAFAYETTE AVENUE,K,16,208,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
50,K026,16K393,Frederick Douglass Academy IV Secondary School,K393,1014 LAFAYETTE AVENUE,K,16,77,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
51,K026,16K681,Madiba Prep Middle School,K681,1014 LAFAYETTE AVENUE,K,16,173,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
52,K026,,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,1014 LAFAYETTE AVENUE,K,16,458,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0,2,4,0,1,3C,251-500,0.27,0.90,1.67,0.63,0.44
53,K027,15K676,Red Hook Neighborhood School,K676,27 HUNTINGTON STREET,K,15,200,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
54,K027,84K730,Summit Academy Charter School,K730,27 HUNTINGTON STREET,K,15,325,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
55,K027,,27 HUNTINGTON STREET CONSOLIDATED LOCATION,,27 HUNTINGTON STREET,K,15,525,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53
56,K028,16K028,P.S. 028 The Warren Prep Academy,K028,1001 HERKIMER STREET,K,16,199,,1,P.S. 028 The Warren Prep Academy,0,1,0,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
57,K029,15K029,P.S. 029 John M. Harrigan,K029,425 HENRY STREET,K,15,895,,1,P.S. 029 John M. Harrigan,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
58,K031,14K031,P.S. 031 Samuel F. Dupont,K031,75 MESEROLE AVENUE,K,14,611,,1,P.S. 031 Samuel F. Dupont,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
59,K032,15K032,P.S. 032 Samuel Mills Sprole,K032,317 HOYT STREET,K,15,497,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
60,K032,15K442,M.S. 442 Carroll Gardens School for Innovation,K442,317 HOYT STREET,K,15,217,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
61,K032,,317 HOYT STREET CONSOLIDATED LOCATION,,317 HOYT STREET,K,15,714,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION,0,4,4,3,1,4C,501-750,0.28,1.11,1.74,0.75,0.53
62,K033,14K322,Foundations Academy,K322,70 TOMPKINS AVENUE,K,14,73,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
63,K033,14K330,The School for the Urban Environment,K330,70 TOMPKINS AVENUE,K,14,82,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
64,K033,84K367,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1(BN),K367,70 TOMPKINS AVENUE,K,14,477,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
65,K033,75K368,P.S. 368,K368,70 TOMPKINS AVENUE,K,14,219,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
66,K033,,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,,70 TOMPKINS AVENUE,K,14,NaN,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,0,1,7,0,1,3C,251-500,0.27,0.90,1.67,0.63,0.44
67,K034,14K034,P.S. 034 Oliver H. Perry,K034,131 NORMAN AVENUE,K,14,481,,1,P.S. 034 Oliver H. Perry,0,2,0,2,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
68,K035,16K035,M.S. 035 Stephen Decatur,K035,272 MACDONOUGH STREET,K,16,168,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
69,K035,16K628,Brooklyn Brownstone School,K628,272 MACDONOUGH STREET,K,16,222,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
70,K035,,272 MACDONOUGH STREET CONSOLIDATED LOCATION,,272 MACDONOUGH STREET,K,16,390,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,0,1,1,1,3C,251-500,0.27,0.90,1.67,0.63,0.44
71,K038,15K038,P.S. 038 The Pacific,K038,450 PACIFIC STREET,K,15,554,,1,P.S. 038 The Pacific,1,0,1,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
72,K039,15K039,P.S. 039 Henry Bristow,K039,417 6 AVENUE,K,15,422,,1,P.S. 039 Henry Bristow,0,0,0,0,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
73,K040,16K040,P.S. 040 George W. Carver,K040,265 RALPH AVENUE,K,16,296,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
74,K040,16K594,Gotham Professional Arts Academy,K594,265 RALPH AVENUE,K,16,197,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
75,K040,,265 RALPH AVENUE CONSOLIDATED LOCATION,,265 RALPH AVENUE,K,16,493,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,2,2,1,3,1,3C,251-500,0.27,0.90,1.67,0.63,0.44
76,K041,23K041,P.S. 041 Francis White,K041,411 THATFORD AVENUE,K,23,499,,1,P.S. 041 Francis White,1,5,2,3,3,3C,251-500,0.27,0.90,1.67,0.63,0.44
77,K043,21K098,I.S. 98 Bay Academy,K098,1401 EMMONS AVENUE,K,21,1493,,1,I.S. 98 Bay Academy,0,0,2,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
78,K044,13K044,P.S. 044 Marcus Garvey,K044,432 MONROE STREET,K,13,223,,1,P.S. 044 Marcus Garvey,0,0,8,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
79,K045,32K045,P.S./I.S. 045 Horace E. Greene,K045,84 SCHAEFER STREET,K,32,779,,1,P.S./I.S. 045 Horace E. Greene,0,1,1,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82
80,K046,13K046,P.S. 046 Edward C. Blum,K046,100 CLERMONT AVENUE,K,13,361,100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
81,K046,13K691,Fort Greene Preparatory Academy,K691,100 CLERMONT AVENUE,K,13,241,100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
82,K046,,100 CLERMONT AVENUE CONSOLIDATED LOCATION,,100 CLERMONT AVENUE,K,13,602,100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION,1,3,3,1,3,4C,501-750,0.28,1.11,1.74,0.75,0.53
83,K048,20K048,P.S. 048 Mapleton,K048,6015 18 AVENUE,K,20,597,,1,P.S. 048 Mapleton,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
84,K049,14K449,"Brooklyn Latin School, The",K449,223 GRAHAM AVENUE,K,14,664,223 GRAHAM AVENUE CONSOLIDATED LOCATION,3,"Brooklyn Latin School, The |  Green School: An Academy for Environmental Careers |  Lyons Community School 223 GRAHAM AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
