ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
476,K383,,1300 GREENE AVENUE CONSOLIDATED LOCATION,,1300 GREENE AVENUE,K,32,2015,1300 GREENE AVENUE CONSOLIDATED LOCATION,2,J.H.S. 383 Philippa Schuyler| Achievement First Bushwick Charter School| 1300 GREENE AVENUE CONSOLIDATED LOCATION,1,6,6,7,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05
477,K384,32K384,P.S. /I.S. 384 Frances E. Carter,K384,242 COOPER STREET,K,32,641,,1,P.S. /I.S. 384 Frances E. Carter,0,1,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53
478,K390,17K334,Middle School for Academic and Social Excellence,K334,1224 PARK PLACE,K,17,82,1224 PARK PLACE CONSOLIDATED LOCATION,3,Middle School for Academic and Social Excellence|The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
479,K390,17K354,The School of Integrated Learning,K354,1224 PARK PLACE,K,17,202,1224 PARK PLACE CONSOLIDATED LOCATION,3,Middle School for Academic and Social Excellence|The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
480,K390,84K357,KIPP AMP CHARTER SCHOOL(BN),K357,1224 PARK PLACE,K,17,787,1224 PARK PLACE CONSOLIDATED LOCATION,3,Middle School for Academic and Social Excellence|The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
481,K390,,1224 PARK PLACE CONSOLIDATED LOCATION,,1224 PARK PLACE,K,17,1071,1224 PARK PLACE CONSOLIDATED LOCATION,2,Middle School for Academic and Social Excellence|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,1,1,4,1,1,6C,1001-1250,0.57,2.12,3.64,1.39,1.05
482,K391,84K356,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS),K356,790 EAST NEW YORK AVENUE,K,17,1016,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A
483,K391,17K722,New Heights Middle School,K722,790 EAST NEW YORK AVENUE,K,17,261,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
484,K391,,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,,790 EAST NEW YORK AVENUE,K,17,1277,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,1,2,3,2,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
485,K395,22K109,P.S. 109,K109,1001 EAST  45 STREET,K,22,695,,1,P.S. 109,0,0,2,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
486,K396,75K396,P.S. K396,K396,110 CHESTER STREET,K,23,306,,1,P.S. K396,0,1,1,1,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
487,K397,17K397,P.S. 397 Foster-Laurie,K397,490 FENIMORE STREET,K,17,251,,1,P.S. 397 Foster-Laurie,1,0,0,1,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
488,K398,17K398,P.S. 398 Walter Weaver,K398,60 EAST  94 STREET,K,17,381,60 EAST  94 STREET CONSOLIDATED LOCATION,2,P.S. 398 Walter Weaver |  P.S. 770 New American Academy |  60 EAST  94 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
489,K398,17K770,P.S. 770 New American Academy,K770,60 EAST  94 STREET,K,17,303,60 EAST  94 STREET CONSOLIDATED LOCATION,2,P.S. 398 Walter Weaver |  P.S. 770 New American Academy |  60 EAST  94 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
490,K398,,60 EAST  94 STREET CONSOLIDATED LOCATION,,60 EAST  94 STREET,K,17,684,60 EAST  94 STREET CONSOLIDATED LOCATION,2,P.S. 398 Walter Weaver |  P.S. 770 New American Academy |  60 EAST  94 STREET CONSOLIDATED LOCATION,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53
491,K399,17K399,P.S. 399 Stanley Eugene Clark,K399,2707 ALBEMARLE ROAD,K,17,481,,1,P.S. 399 Stanley Eugene Clark,0,0,2,0,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
